skills,interests,education_level,years_experience,certifications,projects,target_career
"java, python, git, c++, system design","optimizing performance, coding, software architecture",Self-Taught,10,Certified,desktop application,Software Engineer
"user research, sketch, prototyping, adobe xd, wireframing, figma","visual design, user testing, user interface",Master,7,None,user flow diagram,UX Designer
"data structures, git, java","optimizing performance, software architecture, backend logic, coding",PhD,6,In Progress,algorithm visualizer,Software Engineer
"sql, machine learning, numpy, python, pandas, nlp","building models, ai research, analyzing data",Bachelor,6,In Progress,image classification,Data Scientist
"javascript, react, api, html, databases","ui design, backend systems, frontend development",Master,0,Certified,e-commerce site,Web Developer
"pandas, nlp, machine learning, python, sql, deep learning, numpy","building models, ai research",Bachelor,10,Certified,image classification,Data Scientist
"sql, python, pandas","solving complex problems, analyzing data, building models",Bachelor,10,None,sentiment analysis,Data Scientist
"api, css, react, javascript, html","backend systems, building websites, frontend development",Self-Taught,3,None,chat application,Web Developer
"user research, wireframing, figma, sketch, adobe xd","user interface, design capability, user testing, visual design",Bachelor,3,In Progress,user flow diagram,UX Designer
"node.js, react, javascript, databases","backend systems, building websites",Master,4,None,portfolio website,Web Developer
"node.js, css, databases, javascript","frontend development, backend systems, building websites",Master,0,Certified,e-commerce site,Web Developer
"git, system design, c++, data structures, algorithms","coding, backend logic, software architecture, optimizing performance",PhD,5,Certified,desktop application,Software Engineer
"wireframing, figma, adobe xd","user testing, design capability, visual design",Self-Taught,8,Certified,website redesign,UX Designer
"deep learning, statistics, python, numpy, machine learning, pandas, nlp","solving complex problems, analyzing data, ai research",Master,10,None,image classification,Data Scientist
"python, machine learning, statistics, pandas, deep learning","ai research, building models, analyzing data",Master,4,None,image classification,Data Scientist
"market research, agile, communication, scrum","product strategy, user experience",Master,3,None,product launch,Product Manager
"user research, prototyping, adobe xd","design capability, visual design, user testing",Bachelor,3,None,mobile app design,UX Designer
"api, html, react, javascript","frontend development, backend systems",Bachelor,5,Certified,chat application,Web Developer
"adobe xd, user research, prototyping, figma","user interface, design capability, visual design, user testing",Bachelor,2,Certified,website redesign,UX Designer
"deep learning, sql, nlp, pandas","ai research, analyzing data, solving complex problems",Self-Taught,4,Certified,sentiment analysis,Data Scientist
"system design, python, algorithms","optimizing performance, coding",Bachelor,9,None,algorithm visualizer,Software Engineer
"algorithms, system design, java, git, c++","optimizing performance, backend logic, coding",Bachelor,10,Certified,desktop application,Software Engineer
"css, html, api, node.js, databases, javascript, react","backend systems, ui design, building websites",PhD,7,Certified,chat application,Web Developer
"nlp, machine learning, pandas, numpy","solving complex problems, ai research",Bachelor,10,Certified,image classification,Data Scientist
"data structures, git, system design","backend logic, optimizing performance, coding",Master,1,None,desktop application,Software Engineer
"system design, algorithms, git, data structures","optimizing performance, backend logic",PhD,10,None,scalable system,Software Engineer
"databases, node.js, api, react, css, javascript","frontend development, backend systems",PhD,0,In Progress,portfolio website,Web Developer
"algorithms, python, java, git, data structures, c++","optimizing performance, backend logic, coding, software architecture",PhD,8,In Progress,algorithm visualizer,Software Engineer
"api, html, react, databases","ui design, backend systems, building websites, frontend development",Master,7,In Progress,e-commerce site,Web Developer
"git, java, c++, algorithms, data structures, system design","coding, optimizing performance, backend logic, software architecture",Bachelor,0,In Progress,algorithm visualizer,Software Engineer
"adobe xd, figma, prototyping, wireframing, user research","visual design, design capability, user interface, user testing",PhD,0,None,website redesign,UX Designer
"user research, wireframing, adobe xd, sketch","user interface, visual design, design capability, user testing",Master,7,In Progress,website redesign,UX Designer
"algorithms, java, git","optimizing performance, coding, backend logic",PhD,2,In Progress,algorithm visualizer,Software Engineer
"pandas, deep learning, nlp","analyzing data, building models",Bachelor,2,None,sentiment analysis,Data Scientist
"algorithms, java, c++, python, git, system design, data structures","backend logic, coding, optimizing performance",Master,4,In Progress,algorithm visualizer,Software Engineer
"prototyping, adobe xd, user research, figma, wireframing","visual design, user testing",Self-Taught,9,None,website redesign,UX Designer
"user research, wireframing, adobe xd, sketch, figma, prototyping","design capability, user testing, visual design",Self-Taught,7,In Progress,website redesign,UX Designer
"machine learning, deep learning, nlp","ai research, solving complex problems, building models, analyzing data",PhD,10,None,sentiment analysis,Data Scientist
"sketch, adobe xd, prototyping, figma","design capability, user testing, user interface, visual design",Master,9,Certified,mobile app design,UX Designer
"communication, market research, agile, scrum, analytics, roadmapping","product strategy, leading teams, user experience, business growth",Self-Taught,0,None,market analysis,Product Manager
"data structures, algorithms, c++, git, java","backend logic, optimizing performance, software architecture",Bachelor,10,None,scalable system,Software Engineer
"api, node.js, react","backend systems, frontend development",Master,3,None,e-commerce site,Web Developer
"java, data structures, git, algorithms, python, c++","software architecture, coding",Bachelor,10,Certified,desktop application,Software Engineer
"nlp, python, machine learning, sql","ai research, building models",Bachelor,6,In Progress,customer churn prediction,Data Scientist
"wireframing, figma, sketch, user research","design capability, user interface, user testing",Self-Taught,8,In Progress,user flow diagram,UX Designer
"machine learning, deep learning, pandas","ai research, solving complex problems, analyzing data, building models",Self-Taught,8,In Progress,sentiment analysis,Data Scientist
"javascript, react, html, node.js","ui design, building websites",PhD,2,In Progress,e-commerce site,Web Developer
"css, javascript, api, databases, node.js, react","backend systems, frontend development, ui design",Master,3,None,chat application,Web Developer
"analytics, scrum, market research","user experience, business growth",Master,7,None,user research,Product Manager
"api, react, html, javascript, databases, css, node.js","backend systems, building websites",Self-Taught,0,None,portfolio website,Web Developer
"roadmapping, scrum, agile, market research","leading teams, product strategy, user experience",Master,8,In Progress,market analysis,Product Manager
"roadmapping, communication, analytics, scrum","business growth, product strategy, leading teams, user experience",PhD,5,In Progress,user research,Product Manager
"sketch, prototyping, adobe xd, figma","design capability, visual design",Self-Taught,3,In Progress,website redesign,UX Designer
"user research, sketch, adobe xd","design capability, visual design",Master,0,None,website redesign,UX Designer
"user research, prototyping, figma, wireframing, adobe xd, sketch","user testing, design capability",Self-Taught,8,None,website redesign,UX Designer
"java, git, algorithms, data structures, system design, c++, python","coding, optimizing performance",PhD,6,None,algorithm visualizer,Software Engineer
"user research, figma, prototyping, wireframing, adobe xd","user testing, visual design, design capability, user interface",Self-Taught,3,None,user flow diagram,UX Designer
"machine learning, deep learning, numpy","building models, solving complex problems, ai research",Bachelor,5,In Progress,image classification,Data Scientist
"machine learning, sql, statistics","building models, solving complex problems, analyzing data, ai research",PhD,10,None,image classification,Data Scientist
"sketch, adobe xd, figma, user research, prototyping, wireframing","design capability, user testing, user interface",Self-Taught,9,In Progress,user flow diagram,UX Designer
"databases, react, css, javascript, api, node.js, html","backend systems, frontend development, building websites, ui design",Bachelor,1,Certified,e-commerce site,Web Developer
"statistics, sql, python, numpy, machine learning, nlp","ai research, building models, solving complex problems",Bachelor,1,Certified,image classification,Data Scientist
"pandas, nlp, numpy","solving complex problems, building models, ai research, analyzing data",Self-Taught,5,None,image classification,Data Scientist
"system design, git, algorithms, data structures, java","coding, optimizing performance, software architecture, backend logic",PhD,0,Certified,scalable system,Software Engineer
"analytics, agile, communication, market research, roadmapping","user experience, leading teams",Master,7,Certified,market analysis,Product Manager
"api, javascript, html, css","frontend development, building websites, ui design",Self-Taught,0,None,portfolio website,Web Developer
"sketch, adobe xd, prototyping","user testing, user interface",Bachelor,5,None,website redesign,UX Designer
"wireframing, adobe xd, figma","visual design, user interface, user testing, design capability",Bachelor,2,In Progress,mobile app design,UX Designer
"market research, analytics, scrum, communication, roadmapping","user experience, leading teams, product strategy",Bachelor,6,In Progress,user research,Product Manager
"figma, prototyping, sketch, wireframing, user research","design capability, user interface, user testing",Bachelor,7,None,mobile app design,UX Designer
"node.js, css, api, databases, react, html","building websites, backend systems",Master,9,Certified,e-commerce site,Web Developer
"html, databases, node.js, api, css, react, javascript","ui design, frontend development, backend systems, building websites",Master,10,In Progress,e-commerce site,Web Developer
"sql, nlp, machine learning, pandas, python","building models, ai research",Master,4,In Progress,image classification,Data Scientist
"scrum, agile, communication, market research","leading teams, product strategy, user experience, business growth",Self-Taught,5,None,product launch,Product Manager
"node.js, css, html, react","backend systems, ui design, building websites, frontend development",Bachelor,9,None,chat application,Web Developer
"numpy, sql, statistics, pandas, deep learning, machine learning, python","ai research, analyzing data",PhD,2,Certified,image classification,Data Scientist
"adobe xd, sketch, wireframing, user research","visual design, user interface, design capability, user testing",Bachelor,6,In Progress,user flow diagram,UX Designer
"analytics, agile, communication","user experience, business growth, product strategy",PhD,0,None,product launch,Product Manager
"c++, python, git, system design, java, algorithms","software architecture, optimizing performance, coding",PhD,10,In Progress,algorithm visualizer,Software Engineer
"system design, git, c++","coding, backend logic, software architecture",Master,9,In Progress,scalable system,Software Engineer
"algorithms, c++, system design, java, git, python, data structures","backend logic, software architecture, coding",PhD,5,Certified,algorithm visualizer,Software Engineer
"css, javascript, react, api","frontend development, building websites, backend systems",Bachelor,0,In Progress,chat application,Web Developer
"wireframing, sketch, figma, prototyping, adobe xd","visual design, user testing, design capability",PhD,9,Certified,user flow diagram,UX Designer
"api, node.js, css","backend systems, frontend development, building websites, ui design",Bachelor,2,None,chat application,Web Developer
"c++, algorithms, system design","backend logic, coding",Bachelor,10,In Progress,desktop application,Software Engineer
"adobe xd, user research, figma, sketch, prototyping","visual design, user testing",Self-Taught,1,None,website redesign,UX Designer
"agile, roadmapping, scrum, market research, communication","leading teams, user experience, product strategy",PhD,6,Certified,product launch,Product Manager
"market research, agile, scrum, roadmapping, analytics, communication","leading teams, user experience, product strategy",PhD,8,In Progress,product launch,Product Manager
"java, c++, system design, data structures, git, python, algorithms","backend logic, software architecture, coding, optimizing performance",Master,10,In Progress,algorithm visualizer,Software Engineer
"roadmapping, analytics, market research, agile","leading teams, business growth",Master,6,None,user research,Product Manager
"data structures, system design, python, algorithms, c++, git, java","optimizing performance, software architecture, backend logic, coding",Bachelor,4,Certified,scalable system,Software Engineer
"market research, scrum, analytics, roadmapping","user experience, leading teams",Master,3,Certified,user research,Product Manager
"java, git, c++, python","backend logic, software architecture",PhD,9,None,scalable system,Software Engineer
"java, system design, git, data structures, algorithms, python","backend logic, software architecture, optimizing performance",Bachelor,4,In Progress,desktop application,Software Engineer
"sql, numpy, machine learning, statistics, python, pandas","analyzing data, ai research, building models, solving complex problems",Bachelor,4,None,customer churn prediction,Data Scientist
"data structures, system design, algorithms, python, c++, java","backend logic, coding, software architecture, optimizing performance",Self-Taught,1,Certified,scalable system,Software Engineer
"prototyping, figma, sketch, adobe xd, user research","design capability, visual design",Master,5,None,user flow diagram,UX Designer
"java, algorithms, c++","software architecture, coding, optimizing performance, backend logic",Bachelor,1,None,algorithm visualizer,Software Engineer
"api, html, databases, css, javascript, react","ui design, backend systems",Self-Taught,2,Certified,chat application,Web Developer
"statistics, python, nlp","building models, ai research",Self-Taught,6,None,sentiment analysis,Data Scientist
"react, html, api, javascript","backend systems, ui design, building websites",Bachelor,5,None,portfolio website,Web Developer
"system design, data structures, git, python, c++, java, algorithms","backend logic, coding, software architecture, optimizing performance",Master,8,None,algorithm visualizer,Software Engineer
"machine learning, sql, statistics, numpy, nlp, deep learning","analyzing data, building models",Self-Taught,7,Certified,image classification,Data Scientist
"figma, adobe xd, wireframing, prototyping, sketch, user research","user interface, design capability, user testing",PhD,7,None,mobile app design,UX Designer
"git, c++, python","software architecture, optimizing performance",Master,6,In Progress,scalable system,Software Engineer
"c++, data structures, system design, java, git, algorithms","coding, backend logic, optimizing performance",Master,3,Certified,algorithm visualizer,Software Engineer
"adobe xd, sketch, figma, wireframing, user research, prototyping","user testing, visual design, user interface, design capability",Self-Taught,7,Certified,user flow diagram,UX Designer
"analytics, market research, roadmapping, scrum","product strategy, user experience",PhD,6,Certified,market analysis,Product Manager
"pandas, statistics, sql, nlp, machine learning, numpy","analyzing data, solving complex problems, ai research",PhD,5,None,image classification,Data Scientist
"machine learning, numpy, sql, statistics, python","ai research, building models, analyzing data, solving complex problems",PhD,1,None,sentiment analysis,Data Scientist
"sql, nlp, deep learning, python","ai research, solving complex problems, building models",PhD,6,None,image classification,Data Scientist
"adobe xd, wireframing, figma","visual design, user testing, user interface",PhD,9,None,user flow diagram,UX Designer
"communication, analytics, scrum, roadmapping, market research","product strategy, business growth, user experience, leading teams",Master,2,Certified,market analysis,Product Manager
"agile, communication, analytics, roadmapping, scrum","leading teams, business growth, user experience",Master,2,Certified,market analysis,Product Manager
"statistics, deep learning, pandas, machine learning, nlp, sql","building models, solving complex problems, ai research",Bachelor,8,Certified,customer churn prediction,Data Scientist
"javascript, databases, react, html, node.js, css, api","frontend development, building websites",Self-Taught,6,Certified,chat application,Web Developer
"react, api, css, node.js, javascript","building websites, backend systems, frontend development, ui design",Master,9,In Progress,portfolio website,Web Developer
"roadmapping, scrum, analytics, communication","user experience, leading teams, business growth",Master,2,Certified,product launch,Product Manager
"python, system design, git, algorithms, c++, java, data structures","optimizing performance, coding, backend logic",Master,5,None,scalable system,Software Engineer
"api, node.js, react, javascript, databases","ui design, backend systems, frontend development, building websites",PhD,10,In Progress,portfolio website,Web Developer
"nlp, deep learning, machine learning, sql, python, statistics","solving complex problems, building models, analyzing data, ai research",Self-Taught,4,In Progress,image classification,Data Scientist
"algorithms, java, git, python, data structures, system design, c++","backend logic, optimizing performance, coding",Master,3,In Progress,desktop application,Software Engineer
"roadmapping, market research, communication, scrum, agile, analytics","product strategy, business growth",Master,0,Certified,user research,Product Manager
"sketch, prototyping, adobe xd, wireframing, figma","user interface, visual design",PhD,9,Certified,mobile app design,UX Designer
"databases, react, html, css, node.js","ui design, building websites, frontend development, backend systems",Bachelor,5,Certified,portfolio website,Web Developer
"communication, agile, market research, scrum","business growth, product strategy",Master,4,Certified,market analysis,Product Manager
"adobe xd, user research, sketch, figma, prototyping","user testing, user interface, design capability, visual design",Self-Taught,6,None,mobile app design,UX Designer
"java, c++, python, algorithms","coding, software architecture, backend logic, optimizing performance",PhD,5,Certified,algorithm visualizer,Software Engineer
"user research, figma, adobe xd, prototyping","visual design, user interface, design capability",Self-Taught,0,In Progress,website redesign,UX Designer
"numpy, python, deep learning, pandas, machine learning, statistics, nlp, sql","ai research, analyzing data",PhD,6,None,customer churn prediction,Data Scientist
"communication, roadmapping, scrum, agile","product strategy, user experience, leading teams, business growth",Bachelor,7,None,product launch,Product Manager
"javascript, css, react, node.js","frontend development, backend systems, building websites, ui design",Master,8,In Progress,portfolio website,Web Developer
"agile, roadmapping, analytics, market research","business growth, leading teams",PhD,8,In Progress,product launch,Product Manager
"adobe xd, wireframing, prototyping, sketch, user research, figma","user interface, design capability",Self-Taught,5,In Progress,user flow diagram,UX Designer
"system design, data structures, git, c++, python","coding, optimizing performance",Self-Taught,0,None,desktop application,Software Engineer
"python, pandas, sql, deep learning, numpy","ai research, solving complex problems, building models",PhD,4,None,sentiment analysis,Data Scientist
"prototyping, figma, wireframing","user interface, user testing",PhD,6,None,website redesign,UX Designer
"react, databases, html","frontend development, backend systems",Bachelor,4,None,e-commerce site,Web Developer
"python, nlp, deep learning","building models, solving complex problems",Master,3,None,image classification,Data Scientist
"agile, analytics, roadmapping, market research","business growth, user experience, product strategy",Master,9,In Progress,market analysis,Product Manager
"roadmapping, market research, communication, scrum, agile, analytics","user experience, product strategy, business growth",Bachelor,3,In Progress,user research,Product Manager
"agile, market research, analytics","business growth, user experience",PhD,1,In Progress,user research,Product Manager
"agile, scrum, market research","user experience, product strategy",Bachelor,4,None,product launch,Product Manager
"c++, algorithms, java, data structures, system design, git","optimizing performance, coding, backend logic",Master,9,Certified,algorithm visualizer,Software Engineer
"html, node.js, databases, react","building websites, ui design, frontend development, backend systems",Master,10,None,e-commerce site,Web Developer
"analytics, market research, communication, roadmapping, agile","business growth, user experience, leading teams, product strategy",Master,7,Certified,user research,Product Manager
"nlp, python, deep learning, statistics, machine learning","solving complex problems, ai research, building models, analyzing data",PhD,4,In Progress,customer churn prediction,Data Scientist
"node.js, javascript, css","ui design, frontend development",Master,5,None,chat application,Web Developer
"css, databases, html","frontend development, building websites",Master,2,None,e-commerce site,Web Developer
"java, c++, data structures","optimizing performance, backend logic, software architecture",Bachelor,9,In Progress,scalable system,Software Engineer
"figma, wireframing, user research, sketch","design capability, visual design",Bachelor,7,In Progress,website redesign,UX Designer
"numpy, python, sql, statistics, pandas, deep learning, machine learning","solving complex problems, ai research, analyzing data",Bachelor,1,Certified,image classification,Data Scientist
"analytics, market research, agile, roadmapping","business growth, user experience, leading teams, product strategy",Bachelor,9,In Progress,market analysis,Product Manager
"git, c++, algorithms, system design, data structures, python","optimizing performance, coding",Master,7,In Progress,algorithm visualizer,Software Engineer
"pandas, sql, numpy, machine learning, statistics","analyzing data, building models, ai research, solving complex problems",Master,7,In Progress,image classification,Data Scientist
"react, api, javascript, databases","ui design, backend systems",Master,2,None,portfolio website,Web Developer
"html, css, javascript","ui design, frontend development, backend systems",Self-Taught,3,In Progress,portfolio website,Web Developer
"algorithms, python, data structures, java, c++","optimizing performance, coding, backend logic, software architecture",Self-Taught,1,In Progress,scalable system,Software Engineer
"html, react, api, databases, node.js, javascript, css","ui design, frontend development",Master,2,None,chat application,Web Developer
"nlp, sql, pandas","solving complex problems, building models",Self-Taught,6,In Progress,image classification,Data Scientist
"python, nlp, pandas, deep learning","ai research, analyzing data, solving complex problems, building models",Master,2,None,customer churn prediction,Data Scientist
"wireframing, adobe xd, sketch","user interface, design capability",Self-Taught,9,None,website redesign,UX Designer
"numpy, sql, pandas, machine learning","solving complex problems, building models, ai research, analyzing data",Bachelor,1,None,image classification,Data Scientist
"user research, figma, adobe xd, sketch","user interface, design capability, visual design, user testing",Master,10,In Progress,website redesign,UX Designer
"deep learning, python, machine learning, statistics, numpy, pandas, sql","ai research, building models",Self-Taught,10,In Progress,sentiment analysis,Data Scientist
"databases, css, node.js, react, api","backend systems, building websites, ui design",Master,4,Certified,e-commerce site,Web Developer
"prototyping, user research, wireframing, adobe xd, sketch, figma","user testing, design capability",PhD,2,None,website redesign,UX Designer
"api, javascript, react, node.js","building websites, backend systems, ui design, frontend development",PhD,10,None,portfolio website,Web Developer
"statistics, machine learning, deep learning","solving complex problems, ai research, analyzing data",Self-Taught,8,None,customer churn prediction,Data Scientist
"nlp, statistics, sql","solving complex problems, analyzing data",Self-Taught,3,Certified,image classification,Data Scientist
"roadmapping, scrum, agile, market research, communication, analytics","business growth, user experience, product strategy",PhD,5,In Progress,user research,Product Manager
"java, system design, python, c++, algorithms, git","coding, software architecture",Self-Taught,0,In Progress,algorithm visualizer,Software Engineer
"java, c++, algorithms, data structures","backend logic, software architecture, optimizing performance, coding",Master,8,Certified,scalable system,Software Engineer
"figma, sketch, user research, wireframing","design capability, user interface, visual design, user testing",Bachelor,4,None,user flow diagram,UX Designer
"api, node.js, css, react, javascript, databases, html","frontend development, building websites, backend systems",Bachelor,9,None,e-commerce site,Web Developer
"scrum, communication, agile","leading teams, business growth, product strategy, user experience",Master,9,In Progress,product launch,Product Manager
"wireframing, prototyping, figma, user research, adobe xd","user testing, design capability, user interface, visual design",Self-Taught,1,Certified,website redesign,UX Designer
"deep learning, machine learning, numpy","ai research, building models",Master,1,Certified,sentiment analysis,Data Scientist
"numpy, pandas, python","ai research, analyzing data, solving complex problems",Self-Taught,3,Certified,image classification,Data Scientist
"html, databases, api, react, node.js, css","backend systems, frontend development, ui design, building websites",Self-Taught,3,Certified,e-commerce site,Web Developer
"system design, algorithms, python, data structures, java, git","optimizing performance, coding, backend logic, software architecture",Master,2,In Progress,scalable system,Software Engineer
"figma, adobe xd, user research, sketch","user interface, visual design, design capability, user testing",Master,9,In Progress,mobile app design,UX Designer
"node.js, databases, javascript, html, api, react, css","frontend development, building websites",PhD,5,In Progress,chat application,Web Developer
"javascript, node.js, api","backend systems, ui design, frontend development, building websites",Bachelor,0,None,e-commerce site,Web Developer
"react, html, api","ui design, building websites",Self-Taught,9,None,chat application,Web Developer
"python, c++, git, java, data structures, system design","coding, software architecture, optimizing performance",PhD,5,In Progress,scalable system,Software Engineer
"sketch, adobe xd, figma, wireframing, prototyping","user interface, user testing",Self-Taught,9,In Progress,mobile app design,UX Designer
"java, c++, system design, python, data structures","optimizing performance, software architecture, coding, backend logic",Master,2,Certified,desktop application,Software Engineer
"deep learning, machine learning, pandas, nlp","building models, solving complex problems, analyzing data, ai research",Master,8,None,sentiment analysis,Data Scientist
"c++, data structures, java, git, python, system design, algorithms","optimizing performance, software architecture, coding",Bachelor,3,In Progress,algorithm visualizer,Software Engineer
"prototyping, wireframing, figma, adobe xd, sketch","user testing, visual design, user interface, design capability",Self-Taught,0,In Progress,user flow diagram,UX Designer
"figma, user research, adobe xd","user interface, visual design",Bachelor,1,Certified,user flow diagram,UX Designer
"pandas, deep learning, numpy, python, nlp, machine learning, statistics","ai research, analyzing data, solving complex problems, building models",Master,3,Certified,customer churn prediction,Data Scientist
"javascript, databases, css, api","backend systems, frontend development, building websites",Master,9,None,portfolio website,Web Developer
"roadmapping, communication, market research, scrum","business growth, product strategy, user experience, leading teams",Master,2,Certified,user research,Product Manager
"pandas, machine learning, nlp, deep learning, sql, python, statistics","building models, ai research",Bachelor,6,In Progress,image classification,Data Scientist
"statistics, pandas, python, machine learning, numpy, nlp, sql","solving complex problems, ai research, building models, analyzing data",PhD,2,None,image classification,Data Scientist
"wireframing, prototyping, user research, sketch, adobe xd","user testing, design capability",Bachelor,6,None,user flow diagram,UX Designer
"git, system design, c++","software architecture, optimizing performance, coding, backend logic",Self-Taught,7,None,scalable system,Software Engineer
"roadmapping, communication, scrum, analytics","leading teams, business growth, user experience",PhD,10,Certified,user research,Product Manager
"git, c++, system design, java, data structures, algorithms","optimizing performance, backend logic, coding",Self-Taught,4,Certified,desktop application,Software Engineer
"algorithms, git, data structures, java","software architecture, coding",Self-Taught,1,Certified,algorithm visualizer,Software Engineer
"statistics, nlp, pandas, machine learning, python, deep learning, sql, numpy","building models, ai research, analyzing data, solving complex problems",Master,9,Certified,customer churn prediction,Data Scientist
"c++, system design, python","coding, optimizing performance, software architecture",Master,7,Certified,scalable system,Software Engineer
"statistics, deep learning, python, machine learning, numpy","analyzing data, ai research",Master,0,In Progress,sentiment analysis,Data Scientist
"javascript, html, databases, api, react","backend systems, frontend development, ui design, building websites",Master,4,Certified,chat application,Web Developer
"node.js, react, databases, api, html, javascript","building websites, ui design, frontend development",Master,9,Certified,chat application,Web Developer
"agile, analytics, roadmapping, market research, scrum, communication","product strategy, user experience, leading teams, business growth",PhD,10,Certified,market analysis,Product Manager
"react, css, html, node.js, databases, javascript, api","ui design, backend systems, building websites",PhD,5,None,chat application,Web Developer
"system design, data structures, c++, git","backend logic, software architecture, optimizing performance, coding",Bachelor,8,In Progress,algorithm visualizer,Software Engineer
"api, html, node.js, css, javascript, react","backend systems, building websites, frontend development, ui design",Master,8,Certified,portfolio website,Web Developer
"react, javascript, node.js, css","backend systems, frontend development, building websites",Master,6,In Progress,e-commerce site,Web Developer
"scrum, agile, market research, roadmapping, analytics, communication","user experience, product strategy, leading teams, business growth",PhD,3,Certified,market analysis,Product Manager
"analytics, market research, roadmapping, communication, agile, scrum","business growth, product strategy",Master,3,None,market analysis,Product Manager
"scrum, analytics, agile","user experience, business growth, product strategy",PhD,6,In Progress,product launch,Product Manager
"algorithms, data structures, c++, system design","optimizing performance, backend logic, software architecture",Bachelor,3,Certified,scalable system,Software Engineer
"data structures, java, system design, algorithms, c++, git, python","optimizing performance, backend logic, coding, software architecture",PhD,4,In Progress,desktop application,Software Engineer
"sketch, wireframing, user research","visual design, design capability",Self-Taught,8,None,website redesign,UX Designer
"sketch, prototyping, figma","design capability, visual design",Self-Taught,2,None,website redesign,UX Designer
"prototyping, sketch, wireframing, user research","visual design, design capability, user testing",Master,6,Certified,mobile app design,UX Designer
"api, javascript, node.js, react","frontend development, building websites",Master,3,Certified,chat application,Web Developer
"communication, market research, roadmapping","product strategy, user experience",Master,6,None,market analysis,Product Manager
"prototyping, sketch, adobe xd, figma, wireframing","design capability, visual design, user interface",PhD,1,In Progress,mobile app design,UX Designer
"market research, scrum, roadmapping","product strategy, leading teams",Self-Taught,7,In Progress,product launch,Product Manager
"pandas, deep learning, nlp, statistics, python, machine learning, numpy","building models, solving complex problems, analyzing data, ai research",PhD,5,Certified,customer churn prediction,Data Scientist
"agile, analytics, market research, scrum, communication, roadmapping","product strategy, leading teams, user experience",Bachelor,6,In Progress,market analysis,Product Manager
"roadmapping, communication, scrum, agile, market research, analytics","leading teams, user experience",Bachelor,6,Certified,market analysis,Product Manager
"scrum, agile, communication","leading teams, product strategy, user experience",Self-Taught,2,Certified,product launch,Product Manager
"wireframing, sketch, user research, prototyping, figma","design capability, user interface, visual design",PhD,10,None,mobile app design,UX Designer
"javascript, html, css, node.js, api","ui design, building websites",Master,2,In Progress,chat application,Web Developer
"sql, pandas, statistics, python, numpy","building models, ai research, analyzing data, solving complex problems",Self-Taught,8,None,customer churn prediction,Data Scientist
"react, javascript, css","frontend development, backend systems",Bachelor,6,None,e-commerce site,Web Developer
"css, html, react, databases, javascript, node.js","ui design, building websites, frontend development",Bachelor,5,None,portfolio website,Web Developer
"deep learning, python, machine learning, sql, statistics, numpy, nlp","building models, ai research",PhD,1,None,customer churn prediction,Data Scientist
